№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
37,02141638,ВІДДІЛ ОСВІТИ ТА КУЛЬТУРИ ЛУЦЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ ВОЛИНСЬКОЇ ОБЛАСТІ,"43001 М.ЛУЦЬК, ВУЛ.ШЕВЧЕНКА, БУД. 41",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,1
38,39789010,УПРАВЛІННЯ КАПІТАЛЬНОГО БУДІВНИЦТВА ВОЛИНСЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"43027 М.ЛУЦЬК, КИЇВСЬКИЙ МАЙДАН, БУД. 9",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,1
39,02141609,ВІДДІЛ ОСВІТИ ТА КУЛЬТУРИ КІВЕРЦІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ ВОЛИНСЬКОЇ ОБЛАСТІ,"45200 ВОЛИНСЬКА ОБЛ., КІВЕРЦІВСЬКИЙ Р-Н, М.КІВЕРЦІ, ВУЛ.КИРИЧУКА, БУД. 1",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,3
40,05441542,"КОВЕЛЬСЬКЕ СПЕЦІАЛІЗОВАНЕ ЛІСОГОСПОДАРСЬКЕ ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ТУР""","45000 ВОЛИНСЬКА ОБЛ., М.КОВЕЛЬ, ВУЛ.ГРУШЕВСЬКОГО, БУД. 112",0100507,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ВОЛИНСЬКІЙ ОБЛАСТІ ,15
41,04051520,КРЕМІНСЬКА РАЙОННА ДЕРЖАВНА АДМІНІСТРАЦІЯ ЛУГАНСЬКОЇ ОБЛАСТІ,"92900 ЛУГАНСЬКА ОБЛ., КРЕМІНСЬКИЙ Р-Н, М.КРЕМІННА, ВУЛ.БАНКОВА, БУД. 1",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,13
42,03196972,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ МІЛОВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ ЛУГАНСЬКОЇ ОБЛАСТІ,"92500 ЛУГАНСЬКА ОБЛ., МІЛОВСЬКИЙ Р-Н, СМТ МІЛОВЕ, ВУЛ.МИРУ, 43",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,1
43,24191973,"ДЕРЖАВНА КОМПАНІЯ ""ЛУГАНСЬКЛЕГІНВЕСТ""","91016 М.ЛУГАНСЬК, ЛЕНІНСЬКИЙ Р-Н, ПЛОЩА ГЕРОЇВ ВВВ, БУД. 10",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,1
44,14372998,УПРАВЛІННЯ З ПИТАНЬ ЦИВІЛЬНОГО ЗАХИСТУ ЛУГАНСЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ,"93404 ЛУГАНСЬКА ОБЛ., М.СЄВЄРОДОНЕЦЬК, ПРОСП.ЦЕНТРАЛЬНИЙ, БУД. 54-А",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,19
45,03196966,УПРАВЛІННЯ СОЦІАЛЬНОГО ЗАХИСТУ НАСЕЛЕННЯ МАРКІВСЬКОЇ РАЙОННОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ ЛУГАНСЬКОЇ ОБЛАСТІ,"92400 ЛУГАНСЬКА ОБЛ., МАРКІВСЬКИЙ Р-Н, СМТ МАРКІВКА, ПРОВ.ПІВДЕННИЙ, БУД. 2",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,2
46,41908217,"ДЕПАРТАМЕНТ РОЗВИТКУ, УТРИМАННЯ МЕРЕЖІ АВТОМОБІЛЬНИХ ДОРІГ ОБЛАСТІ, ПРОМИСЛОВОСТІ, ТРАНСПОРТУ ТА ЗВ'ЯЗКУ ЛУГАНСЬКОЇ ОБЛАСНОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ","93405 ЛУГАНСЬКА ОБЛ., М.СЄВЄРОДОНЕЦЬК, ПРОСП.ЦЕНТРАЛЬНИЙ, БУД. 59",0100509,МІСЦЕВІ ДЕРЖАВНІ АДМІНІСТРАЦІЇ У ЛУГАНСЬКІЙ ОБЛАСТІ ,616
