№ з/п,Код за ЄДРПОУ балансоутримувача,Повне найменування балансоутримувача,Місцезнаходження балансоутримувача,Код суб'єкта управління майном,Назва суб'єкта управління майном,"Кількість нерухомого державного майна (будівель та споруд), крім майна, розташованого на території АР Крим тв м. Севастополя"
4632,38085578,10 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У КИЇВСЬКІЙ ОБЛАСТІ,"7300 КИЇВСЬКА ОБЛ., ВИШГОРОДСЬКИЙ Р-Н, М.ВИШГОРОД, ВУЛ.ШОЛУДЕНКА, БУД. 19",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,34
4633,21295896,ХЕРСОНСЬКИЙ ОБЛАСНИЙ ЦЕНТР З ГІДРОМЕТЕОРОЛОГІЇ,"73000 М.ХЕРСОН, СУВОРОВСЬКИЙ Р-Н, ВУЛ.ПЕРЕКОПСЬКА, БУД. 17",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,72
4634,38072862,15 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ХМЕЛЬНИЦЬКІЙ ОБЛАСТІ,"31500 ХМЕЛЬНИЦЬКА ОБЛ., ЛЕТИЧІВСЬКИЙ Р-Н, СМТ ЛЕТИЧІВ, ВУЛ.КОМАРОВА, БУД. 5",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,10
4635,38357518,14 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У МИКОЛАЇВСЬКІЙ ОБЛАСТІ,"56401 МИКОЛАЇВСЬКА ОБЛ., ДОМАНІВСЬКИЙ Р-Н, СМТ ДОМАНІВКА, ВУЛ.ПАСТЕРА, БУД. 58",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,11
4636,08806560,5 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРНІГІВСЬКІЙ ОБЛАСТІ З ОХОРОНИ ОБ'ЄКТІВ,"17500 ЧЕРНІГІВСЬКА ОБЛ., М.ПРИЛУКИ, ВУЛ.ПИРЯТИНСЬКА, БУД. 132",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,14
4637,23312469,АВАРІЙНО-РЯТУВАЛЬНИЙ ЗАГІН СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ХМЕЛЬНИЦЬКІЙ ОБЛАСТІ,"29008 М.ХМЕЛЬНИЦЬКИЙ, ВУЛ.ГЕРОЇВ ЧОРНОБИЛЯ, БУД. 1/2",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,38
4638,38345221,5 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"82100 ЛЬВІВСЬКА ОБЛ., М.ДРОГОБИЧ, ВУЛ.ЗВАРИЦЬКА, БУД. 9",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,15
4639,08804689,АВАРІЙНО-РЯТУВАЛЬНИЙ ЗАГІН СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ПОЛТАВСЬКІЙ ОБЛАСТІ,"36007 М.ПОЛТАВА, КИЇВСЬКИЙ Р-Н, ВУЛ.М. БІРЮЗОВА, БУД. 53",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,72
4640,23312417,АВАРІЙНО-РЯТУВАЛЬНИЙ ЗАГІН СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У МІСТІ КИЄВІ,"4074 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ВУЛ.БЕРЕЖАНСЬКА, БУД. 7",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,13
4641,38349635,6 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У КИЇВСЬКІЙ ОБЛАСТІ,"8400 КИЇВСЬКА ОБЛ., М.ПЕРЕЯСЛАВ, ВУЛ.СКОВОРОДИ, БУД. 70",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,30
4642,38350289,3 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"80100 ЛЬВІВСЬКА ОБЛ., М.ЧЕРВОНОГРАД, ВУЛ.БОГДАНА ХМЕЛЬНИЦЬКОГО, БУД. 30",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,13
4643,38350378,16 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У МИКОЛАЇВСЬКІЙ ОБЛАСТІ,"57210 МИКОЛАЇВСЬКА ОБЛ., ВІТОВСЬКИЙ Р-Н, СМТ ВОСКРЕСЕНСЬКЕ, ВУЛ.СОБОРНА, БУД. 2",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,9
4644,33974259,ДНІПРОПЕТРОВСЬКИЙ ВОЄНІЗОВАНИЙ ГІРНИЧОРЯТУВАЛЬНИЙ (АВАРІЙНО-РЯТУВАЛЬНИЙ) ЗАГІН ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ,"49068 М.ДНІПРО, НОВОКОДАЦЬКИЙ Р-Н, ПРОСП.СВОБОДИ, БУД. 136",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,12
4645,26260603,НАВЧАЛЬНО-МЕТОДИЧНИЙ ЦЕНТР ЦИВІЛЬНОГО ЗАХИСТУ ТА БЕЗПЕКИ ЖИТТЄДІЯЛЬНОСТІ ЧЕРКАСЬКОЇ ОБЛАСТІ,"18029 М.ЧЕРКАСИ, СОСНІВСЬКИЙ Р-Н, ВУЛ.30 РОКІВ ПЕРЕМОГИ, БУД. 26",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,1
4646,38354867,58 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,"52400 ДНІПРОПЕТРОВСЬКА ОБЛ., СОЛОНЯНСЬКИЙ Р-Н, СМТ СОЛОНЕ, ВУЛ.СТРОМЕНКА, БУД. 3",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,10
4647,39195813,11 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРНІВЕЦЬКІЙ ОБЛАСТІ,,24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,11
4648,33219415,МІЖРЕГІОНАЛЬНИЙ ЦЕНТР ШВИДКОГО РЕАГУВАННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ,"42001 СУМСЬКА ОБЛ., М.РОМНИ, ВУЛ.МАЯКОВСЬКОГО, БУД. 64",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,120
4649,38336960,5 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У КИЇВСЬКІЙ ОБЛАСТІ,,24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,7
4650,38363570,10 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У МИКОЛАЇВСЬКІЙ ОБЛАСТІ,"55401 МИКОЛАЇВСЬКА ОБЛ., БРАТСЬКИЙ Р-Н, СМТ БРАТСЬКЕ, ВУЛ.ВОРОНІНА, БУД. 3",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,11
4651,38380601,23 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"81000 ЛЬВІВСЬКА ОБЛ., ЯВОРІВСЬКИЙ Р-Н, М.ЯВОРІВ, ВУЛ.ІВАНА ФРАНКА, БУД. 3",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,11
4652,38380088,9 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У КИЇВСЬКІЙ ОБЛАСТІ,"8132 КИЇВСЬКА ОБЛ., КИЄВО-СВЯТОШИНСЬКИЙ Р-Н, М.ВИШНЕВЕ, ВУЛ.КИЇВСЬКА, БУД. 2А",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,35
4653,38374231,8 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"82400 ЛЬВІВСЬКА ОБЛ., М.СТРИЙ, ВУЛ.ЗЕЛЕНА, БУД. 23",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,9
4654,38370656,25 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"81100 ЛЬВІВСЬКА ОБЛ., ПУСТОМИТІВСЬКИЙ Р-Н, М.ПУСТОМИТИ, ВУЛ.ШЕВЧЕНКА, БУД. 183",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,2
4655,08796106,16 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У СУМСЬКІЙ ОБЛАСТІ,"42100 СУМСЬКА ОБЛ., НЕДРИГАЙЛІВСЬКИЙ Р-Н, СМТ НЕДРИГАЙЛІВ, ВУЛ.ЩЕБЕТУНІВ, БУД. 1",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,13
4656,38355198,12 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ДОНЕЦЬКІЙ ОБЛАСТІ,"84313 ДОНЕЦЬКА ОБЛ., М.КРАМАТОРСЬК, ВУЛ.ОЛЕКСИ ТИХОГО, БУД. 10-І",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,8
4657,38230255,3 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ В ІВАНО-ФРАНКІВСЬКІЙ ОБЛАСТІ,"77100 ІВАНО-ФРАНКІВСЬКА ОБЛ., ГАЛИЦЬКИЙ Р-Н, М.ГАЛИЧ, ВУЛ.ШЕВЧЕНКА, БУД. 48",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,10
4658,38357462,20 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"81200 ЛЬВІВСЬКА ОБЛ., ПЕРЕМИШЛЯНСЬКИЙ Р-Н, М.ПЕРЕМИШЛЯНИ, ВУЛ.ГАЛИЦЬКА, БУД. 79А",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,12
4659,38363497,17 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"80300 ЛЬВІВСЬКА ОБЛ., ЖОВКІВСЬКИЙ Р-Н, М.ЖОВКВА, ВУЛ.ЛЬВІВСЬКА, БУД. 13",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,6
4660,08796116,21 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У СУМСЬКІЙ ОБЛАСТІ,"41000 СУМСЬКА ОБЛ., СЕРЕДИНО-БУДСЬКИЙ Р-Н, М.СЕРЕДИНА-БУДА, ВУЛ.СУМСЬКА, БУД. 42",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,10
4661,08796122,17 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У СУМСЬКІЙ ОБЛАСТІ,"42500 СУМСЬКА ОБЛ., ЛИПОВОДОЛИНСЬКИЙ Р-Н, СМТ ЛИПОВА ДОЛИНА, ВУЛ.РОМЕНСЬКА, БУД. 27",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,6
4662,08796139,10 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У СУМСЬКІЙ ОБЛАСТІ,"41200 СУМСЬКА ОБЛ., ЯМПІЛЬСЬКИЙ Р-Н, СМТ ЯМПІЛЬ, ВУЛ.ГАГАРІНА, БУД. 7",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,5
4663,38359077,21 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ,"53600 ДНІПРОПЕТРОВСЬКА ОБЛ., ПОКРОВСЬКИЙ Р-Н, СМТ ПОКРОВСЬКЕ, ВУЛ.ГРОМОВА, БУД. 41",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,15
4664,38342092,25 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У МИКОЛАЇВСЬКІЙ ОБЛАСТІ,"55000 МИКОЛАЇВСЬКА ОБЛ., М.ЮЖНОУКРАЇНСЬК, ВУЛ.СПОРТИВНА, БУД. 1",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,14
4665,38369808,1 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"79008 М.ЛЬВІВ, ГАЛИЦЬКИЙ Р-Н, ВУЛ.ПІДВАЛЬНА, БУД. 6",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,3
4666,08588990,АВАРІЙНО-РЯТУВАЛЬНИЙ ЗАГІН СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ХЕРСОНСЬКІЙ ОБЛАСТІ,"73034 М.ХЕРСОН, СУВОРОВСЬКИЙ Р-Н, ВУЛ.ВИШНЕВА, БУД. 12",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,15
4667,23312481,3 ДЕРЖАВНИЙ ПОЖЕЖНО-РЯТУВАЛЬНИЙ ЗАГІН (З ОХОРОНИ ОБ'ЄКТУ) ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ХМЕЛЬНИЦЬКІЙ ОБЛАСТІ,"30100 ХМЕЛЬНИЦЬКА ОБЛ., М.НЕТІШИН, ВУЛ.ЕНЕРГЕТИКІВ, БУД. 2",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,7
4668,36763754,14 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"80500 ЛЬВІВСЬКА ОБЛ., БУСЬКИЙ Р-Н, М.БУСЬК, ПЛОЩА РИНОК, БУД. 19",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,9
4669,36765898,27 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"82000 ЛЬВІВСЬКА ОБЛ., СТАРОСАМБІРСЬКИЙ Р-Н, М.СТАРИЙ САМБІР, ВУЛ.ДНІСТРОВА, БУД. 77",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,11
4670,14372923,2 СПЕЦІАЛЬНИЙ ЦЕНТР ШВИДКОГО РЕАГУВАННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ,"82100 ЛЬВІВСЬКА ОБЛ., М.ДРОГОБИЧ, ВУЛ.СПОРТИВНА, БУД. 44",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,42
4671,33945469,УПРАВЛІННЯ ЗАБЕЗПЕЧЕННЯ ОПЕРАТИВНО-РЯТУВАЛЬНОЇ СЛУЖБИ ЦИВІЛЬНОГО ЗАХИСТУ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ,"4074 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ВУЛ.БЕРЕЖАНСЬКА, БУД. 7",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,9
4672,36752449,5 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРНІВЕЦЬКІЙ ОБЛАСТІ,"59400 ЧЕРНІВЕЦЬКА ОБЛ., ЗАСТАВНІВСЬКИЙ Р-Н, М.ЗАСТАВНА, ВУЛ.БАЖАНСЬКОГО, БУД. 111, КОРП. А",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,13
4673,19430915,ДНІПРОПЕТРОВСЬКИЙ РЕГІОНАЛЬНИЙ ЦЕНТР З ГІДРОМЕТЕОРОЛОГІЇ,"49044 М.ДНІПРО, СОБОРНИЙ Р-Н, ВУЛ.ГОГОЛЯ, БУД. 19",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,46
4674,36751644,14 ДЕРЖАВНА ПОЖЕЖНО-РЯТУВАЛЬНА ЧАСТИНА УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЧЕРНІВЕЦЬКІЙ ОБЛАСТІ,"60400 ЧЕРНІВЕЦЬКА ОБЛ., ГЛИБОЦЬКИЙ Р-Н, СМТ ГЛИБОКА, ВУЛ.ПЕРШОТРАВНЕВА, БУД. 16 А",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,16
4675,08588955,АВАРІЙНО-РЯТУВАЛЬНИЙ ЗАГІН СПЕЦІАЛЬНОГО ПРИЗНАЧЕННЯ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ТЕРНОПІЛЬСЬКІЙ ОБЛАСТІ,"46016 М.ТЕРНОПІЛЬ, ВУЛ.КИЇВСЬКА, БУД. 21",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,7
4676,08588932,ЗАГІН ТЕХНІЧНОЇ СЛУЖБИ УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У СУМСЬКІЙ ОБЛАСТІ,"40020 М.СУМИ, КОВПАКІВСЬКИЙ Р-Н, ВУЛ.КОВПАКА, БУД. 2",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,16
4677,08588837,ЗАГІН ТЕХНІЧНОЇ СЛУЖБИ ГОЛОВНОГО УПРАВЛІННЯ ДЕРЖАВНОЇ СЛУЖБИ УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ У ЛЬВІВСЬКІЙ ОБЛАСТІ,"79037 М.ЛЬВІВ, ЛИЧАКІВСЬКИЙ Р-Н, ВУЛ.ЗЕМЕЛЬНА, БУД. 19",24134,ДЕРЖАВНА СЛУЖБА УКРАЇНИ З НАДЗВИЧАЙНИХ СИТУАЦІЙ ,28
