№ з/п,Орган управління,,Балансоутримувач,,,,,"Інформація щодо потенційного об""єкта оренди",,,,,,,,,,
,Код,Назва,Код за ЄДРПОУ,Назва,Юридична адреса,Контактний телефон,Регіон,Назва,Місцезнаходження,"Код класифікатора об""єкта адміністративно-територіального устрою України",Пропозиції щодо використання,Характеристика,"Площа, кв.м",,,,,
1200,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Навчальний корпус,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Для розміщення офісних приміщень ,"Навчальний корпус, має опалення, електропостачання, водовідведення ","10,99",,,,,
1201,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Навчальний корпус,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Для розміщення офісних приміщень ,"Навчальний корпус, має опалення, електропостачання, водовідведення ","49,11",,,,,
1202,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Навчальний корпус,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Для розміщення офісних приміщень ,"Навчальний корпус, має опалення, електропостачання, водовідведення ","32,8",,,,,
1203,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Спортивний корпус,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Для розміщення офісних приміщень ,"Спортивний корпус, має опалення, електропостачання, водовідведення ","59,9",,,,,
1204,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Спортивний корпус,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Під склад ( підвал),"Спортивний корпус, має опалення, електропостачання, водовідведення ","311,2",,,,,
1205,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Спортивний корпус,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Для розміщення офісних приміщень ,"Спортивний корпус, має опалення, електропостачання, водовідведення ","8,5",,,,,
1206,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Спортивний корпус,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Для розміщення офісних приміщень ,"Спортивний корпус, має опалення, електропостачання, водовідведення ",8,,,,,
1207,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Спортивний корпус,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Для розміщення офісних приміщень ,"Спортивний корпус, має опалення, електропостачання, водовідведення ","7,5",,,,,
1208,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Майстерні,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Для розміщення офісних приміщень ,"Майстерні, має опалення, електропостачання, водовідведення ","36,4",,,,,
1209,11084,Міністерство освіти і науки України ,21910232,Коледж Радіоелектроніки,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",(056) 785-54-25,12,Майстерні,"Дніпропетровська область, м. Дніпро, Чечелівський р-н., вул. Шмідта, 18",1200000000,Для розміщення офісних приміщень ,"Майстерні, має опалення, електропостачання, водовідведення ","40,6",,,,,
1210,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Учбовий корпус,"Дніпропетровська область, м. Жовті Води, бульвар Свободи, буд.35",1210700000,Заклад харчування,"Трьох поверхова будівля,опалення,електропостачання, водовідведення та водопостачання,потребує поточного ремонту.","1 012,00",,,,,
1211,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Гараж на шість машин з майстернею,"Дніпропетровська область, м. Жовті Води, бульвар Свободи, буд.35",1210700000,Гаражі,"Одно поверхова будівля,опалення,електропостачання, водовідведення та водопостачання, потребує поточного ремонту.","28,6",,,,,
1212,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Котельня центральна,"м. Дніпро, вул. Казакова,2",1210700000,Розміщення модульної твердопаливної котельні,"Дво поверхова будівля,опралення, водопостачання ,водовідведення, електроенергія, потребує капітального  ремонту",144,,,,,
1213,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Гуртожиток коледжу РКМБ,"м. Дніпро, вул. Макарова, 27",1210700000,"З метою розміщення буфету,що не здійснює продаж товарів підакцизної групи","Семи поверхова будівля, електропостачання,водопостачання, водовідведення, опалення, не потребує поточного ремонту","78,3",,,,,
1214,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Навчальний корпус,"м. Дніпро, пр. Багдана Хмельницького, 49-а",1210700000,"З метою розміщення буфету, що не здійснює продаж товарів підакцизної групи","Чотирьох поверхова будівля, електропостачання, водопостачання, водовідведення,опалення, не потребує поточного ремонту","58,7",,,,,
1215,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Навчальний корпус №1,"м. Дніпро, пр. Гагаріна, 72",1210700000,З метою розміщення торгівельного об'єкту х продажу поліграфічної продукції та канц. товарів та надання послуг копіювання для студентів населення,"Тринадцяти поверхова будівля,опалення,електропостачання, водопостачання, водовідведення, не потребує ремонту",10,,,,,
1216,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Гуртожиток № 3,"м. Дніпро, пр. Гагаріна, 38а",1210700000,"з метою розміщення торгівельного автомату,що відпускає продовольчі товари(автомат питної води)","П'яти поверхова будівля,опалення,електропостачанн,водопостачання, водовідведення,зв'язок",4,,,,,
1217,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Навчальний корпус №1,"м. Дніпро, пр. Гагаріна, 72",1210700000,З метою розміщення торгівельного об'єкту з продажу канцелярських товарів,"Тринадцяти поверхова будівля,опалення,електропостачання, водопостачання, водовідведення, не потребує ремонту",11,,,,,
1218,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Гуртожиток № 5  літера А-10,"м. Дніпро, пр. Гагаріна, 30",1210700000,З метою розміщення автомату доочистки та продажу якісної питної води,"Напівпідвал,Десяти поверхова будівля,опалення,електропостачання,водопостачання,телефонний зв'язок,потребує поточного ремонту.",4,,,,,
1219,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Учбовий корпус,"Дніпропетровська область, м. Жовті Води, бульвар Свободи, буд.35",1210700000,З метою підготовки водіїв автотранспортних засобів,"Трьох поверхова будівля,опалення,водопостачання,водовідведення, потребує поточного ремонту",62,,,,,
1220,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Навчальний корпус №12 літера Е-4,"м. Дніпро, вул. Наукова,9",1210700000,"З метою надання послуг з переплетіння документів, фотоательє, продаж канцелярських товарів та розміщення копіювального цетру","П'яти поверхова будівля, опалення,водопостачання, водовідведення, електроенергія, не потребує ремонту","17,5",,,,,
1221,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Гараж на шість машин з майстернею,"Дніпропетровська область, м. Жовті Води, бульвар Свободи, буд.35",1210700000,З метою розміщення стоянки службового автомобіля,"Одно поверхова будівля,електопостачання, потребує поточного ремонту",24,,,,,
1222,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Навчальний корпус № 1 з підвалом,"м. Дніпро, вул. Бердянська,5",1210700000,"З метою видавництва друкованих засобів масової інформації та видавничої продукції, що друкуються державною мовою, без організації торгівлі","Трьох поверхова будівля, електропостачання, водопостачання,водовідведення,не потребує поточного ремонту","81,3",,,,,
1223,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Гуртожиток № 4 літера А-10,"м. Дніпро, вул. Казакова,36",1210700000,З метою розміщення автомату питної води для студентів,"Десяти поверхова будівля, електропостачання, водопостачання, водовідведення, опалення, не потребує поточного ремонту",4,,,,,
1224,11084,Міністерство освіти і науки України ,2066747,Дніпровський національний університет імені Олеся Гончара,"49010 м. Дніпро, пр. Гагаріна,72",563749853,12,Навчально-виробничий корпус коледжу РКМБ,"м. Дніпро, вул. Макарова,27",1210700000,З метою виготовлення дослідного зразка модульного піролізного котла з активатором(МПК-1) та організації виробництва піролізних котлів,"Дво  поверхова будівля,водопостачання ,електроенергія,опалення, не потребує ремонту",50,,,,,
1225,11084,Міністерство освіти і науки України ,05536076,"Державний професійно - технічний навчальний заклад ""Дніпровський регіональний центр професійно - технічної освіти","м. Дніпро, пр. Богдана Хмельницького 229",(056)766-29-58,12,Частина майстерні літ.  В-2,м. Дніпро вул. Краснопільська 8Б,1210136600,Використання даної частини приміщення для виготовлення металевих конструкцій,,158,,,,,
1226,11084,Міністерство освіти і науки України ,05536076,"Державний професійно - технічний навчальний заклад ""Дніпровський регіональний центр професійно - технічної освіти","м. Дніпро, пр. Богдана Хмельницького 229",(056)766-29-58,12,Гараж літ.  Д-1,м. Дніпро вул. Шинна 10А,1210136600,Використання для виробництва теплової енергії для потреб Дніпровського регіонального центру професійно - технічної освіти,,"51,7",,,,,
1227,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м.Дніпро, вул. Сергія Єфремова, 25",7448132,12,Гаражні бокси,"м.Дніпро, вул. Гагаріна, 65",1210136900,Розміщення автотранспорту,"Наявність опалення, електропостачання, водовідведння, телефонного звязку, потребує ремонту","201,6",,,,,
1228,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Гуртожиток №2,"м.Дніпро, вул. Набережна Перемоги, 44К",1210136900,Розміщення установ,"Наявність опалення, електропостачання, водовідведення, телефонного звязку, потребує ремонту","277,6",,,,,
1229,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Гуртожиток №2,"м.Дніпро, вул. Набережна Перемоги, 44К",1210136900,Розміщення пральні,"Наявність опалення, електропостачання, водовідведення, телефонного звязку, потребує ремонту",36,,,,,
1230,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Їдальня ДДАЕУ,"м.Дніпро, провулок Євгенія Коновальця, 5",1210136900,Розміщення установ<br>,"Наявність опалення, електропостачання, водовідведення, телефонного звязку, потребує ремонту","162,3",,,,,
1231,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Навчальний корпус №2,"м.Дніпро, вул. Сергія Єфремова, 25",1210136900,Розміщення установ,"Наявність опалення, електропостачання",31,,,,,
1232,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Навчальний корпус ветеринарного факультету,"м.Дніпро, вул. Мандриківська, 276",1210136900,Розміщення установ,"Наявність опалення, електропостачання, телефонного звязку",4,,,,,
1233,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Гуртожиток №6,"м. Дніпро, вул. Набережна Перемоги,44",1210136900,Розміщення установ,"Наявність опалення, електропостачання, телефонного звязку",3,,,,,
1234,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул Сергія Єфремова, 25",7448132,12,Гуртожиток №3,"м. Дніпро, вул. Набережна Перемоги 44/1",1210136900,Розміщення установ,"Наявність опалення, електропостачання, телефонного звязку","89,71",,,,,
1235,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Гуртожиток №2 (Технологічний коледж),"просп. Дмитра Яворницького, 76",1210136900,Розміщення офісу,"Наявність опалення, електропостачання водовідведення, телефонного звязку","70,7",,,,,
1236,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Гуртожиток №2 (Технологічний коледж),"просп. Дмитра Яворницького, 76",1210136900,Розміщення офісу,"Наявність опалення, електропостачання водовідведення, телефонного звязку","15,5",,,,,
1237,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Навчальний корпус №2,"м. Дніпро, вул. Сергія Єфремова, 25",1210136900,Розміщення установ,Наявність електропостачання,43,,,,,
1238,11084,Міністерство освіти і науки України ,493675,Дніпровський державний аграрно-економічний університет,"м. Дніпро, вул. Сергія Єфремова, 25",7448132,12,Навчальний корпус №2,"м. Дніпро, вул. Сергія Єфремова, 25",1210136900,Розміщення установ,Наявність електропостачання,"43,5",,,,,
1239,11084,Міністерство освіти і науки України ,5540712,ПРИДНІПРОВСЬКА ДЕРЖАВНА АКАДЕМІЯ ФІЗИЧНОЇ КУЛЬТУРИ І СПОРТУ,"Дніпропетровська обл., м. Дніпро, вул. Набережна Перемоги, 10",(056) 7319689,12,Гуртожиток,"Дніпропетровська обл., м. Дніпро, вул. Набережна Перемоги, 116",1210136900,буфет,"9-ти поверхова будівля. Опалення, електропостачання, водопостачання, водовідведення-центральні. Стан об’єкта - задовільний.","29,5",,,,,
1240,11084,Міністерство освіти і науки України ,5540712,ПРИДНІПРОВСЬКА ДЕРЖАВНА АКАДЕМІЯ ФІЗИЧНОЇ КУЛЬТУРИ І СПОРТУ,"Дніпропетровська обл, м. Дніпро, вул. Набережна Перемоги, 10",(056) 7319689,12,Адмініст-ративно-учбовий корпус №1,"Дніпропетровська обл., м. Дніпро, вул. Набережна Перемоги, 10",1210136900,їдальня,"4-ти поверхова будівля (цокольний поверх). Опалення, електропостачання, водопостачання, водовідведення-центральні. Потребує капітального ремонту.","156,4",,,,,
1241,11084,Міністерство освіти і науки України ,5540712,ПРИДНІПРОВСЬКА ДЕРЖАВНА АКАДЕМІЯ ФІЗИЧНОЇ КУЛЬТУРИ І СПОРТУ,"Дніпропетровська обл., м. Дніпро, вул. Набережна Перемоги, 10",(056) 7319689,12,Їдальня (окрема будівля),"Дніпропетровська обл., м. Дніпро, вул. Набережна Перемоги, 10",1210136900,їдальня,"2-ти поверхова окрема будівля  (1 поверх). Опалення, електропостачання, водопостачання, водовідведення-центральні. Потребує капітального ремонту.",726,,,,,
1242,11084,Міністерство освіти і науки України ,3062993,"Державний професійно-технічний навчальний заклад ""Дніпровський центр професійної освіти"" ","м. Дніпро, Індустріальний район, вул Верещагіна,103",676365523,12,будвля Д-2,"м. Дніпро, Шевченківський район, вул. Вячесдава Липиеського,16",1210136600,"офісні приміщення, склади","вухповерхове, опалення, електропостачання, водовідвідення, потребує капітального ремонту","188,6",,,,,
1243,11084,Міністерство освіти і науки України ,3062993,"Державний професійно-технічний навчальний заклад ""Дніпровський центр професійної освіти"" ","м. Дніпро, Індустріальний район, вул Верещагіна,103",676365523,12,будівля Ж-2,"м. Дніпро, Шевченківський район, вул. Вячесдава Липиеського,16",1210136600,"офісні приміщення, склади","вухповерхове, опалення, електропостачання, водовідвідення, потребує капітального ремонту","190,6",,,,,
1244,11084,Міністерство освіти і науки України ,3062993,"Державний професійно-технічний навчальний заклад ""Дніпровський центр професійної освіти"" ","м. Дніпро, Індустріальний район, вул Верещагіна,103",676365523,12,будівля Ж-2,"м. Дннпро, Соборний район, пр. Дмитра Яворницького,32",1210136900,"офісні приміщення, склади","однопорхове, опалення, електропостачання, водовідвідення, потребує капітального ремонту","39,8",,,,,
1245,11084,Міністерство освіти і науки України ,2070737,Дніпровський державний технічний університет,"51918, Дніпропетровська область, м.Кам'янське, Дніпровський район, вул.Дніпробудівська, 2",(0569)50-65-61,12,"Нежитлове приміщення, частина 2-го поверху 4-х поверхової будівлі ""Корпус навчальний №3""","51918, Дніпропетровська область, м.Кам'янське, Дніпровський район, вул.Дніпробудівська, 2",1210436900,"Розміщення буфету, що не здійснює продаж товарів підакцизної групи","Буфет -26,5 кв.м,                                            частина холу 2-го поверху - 23,5 кв. м",50,,,,,
1246,11084,Міністерство освіти і науки України ,14072300,ДП Виробничо-будівельне об єднання,"м. Київ, проспект Перемоги, 10",044-481-32-52,12,Гуртожиток,"Дніпропетровька обл., м. Нікополь, пр. Трубніков, 16",1200000000,"Банк, хостел, об єкти торгівлі","П яти поверхова будівля, 1968р. Фундамент:и ж/б плити; Поли: дерев янні, бетонні; Окна: металопластикові, дощаті; Опалення: ні; Освітлення: є; Водопровід: є, Каналізація: є","2 497,50",,,,,
1247,17094,Міністерство культури України,02174187,"ДП ""Дніпропетровський державний цирк""","49002, м. Дніпро, вул. Січеславська набережна, 33",(056)744-86-21,12,невідокремлене нежитлове приміщення (частина приміщення першого поверху цирку),"49002, м. Дніпро, вул. Січеславська набережна, 33",1210136900,"під організацію торгівлі товарами непродовольчої групи, виставковий зал",приміщення готове для передачі в оренду,90,,,,,
1248,17094,Міністерство культури України,02174187,"ДП ""Дніпропетровський державний цирк""","49002, м. Дніпро, вул. Січеславська набережна, 33",(056)744-86-21,12,невідокремлене нежитлове приміщення (частина фойє першого поверху цирку),"49002, м. Дніпро, вул. Січеславська набережна, 33",1210136900,під організацію торгівлі товарами продовольчої та непродовольчої групи,"приміщення загального використання, готове для передачі в оренду",75,,,,,
1249,17094,Міністерство культури України,02174187,"ДП ""Дніпропетровський державний цирк""","49002, м. Дніпро, вул. Січеславська набережна, 33",(056)744-86-21,12,невідокремлене нежитлове приміщення (частина фойє другого поверху цирку),"49002, м. Дніпро, вул. Січеславська набережна, 33",1210136900,під організацію торгівлі товарами продовольчої та непродовольчої групи,"приміщення загального використання, готове для передачі в оренду",15,,,,,
1250,17094,Міністерство культури України,02174170,"ДП ""Криворізький державний цирк""","50027, Дніпропетровська обл, м. Кривий Ріг, вул. Матусевича, 10",(0564)74-49-10,12,"Будинок артистів цирку ""Арена""","50027, Дніпропетровська обл, м. Кривий Ріг, вул. Соборності (Косіора), 37",1211036300,"приміщення ресторанного комплексу, зблокованого з БАЦ ""Арена""","приміщення примикає до БАЦ ""Арена"". Потребує косметичного ремонту. Електропостачання, водопостачання, водовідведення","884,1",,,,,
1251,17094,Міністерство культури України,02174170,"ДП ""Криворізький державний цирк""","50027, Дніпропетровська обл, м. Кривий Ріг, вул. Матусевича, 10",(0564)74-49-10,12,гаражі наземні,"50027, Дніпропетровська обл, м. Кривий Ріг, вул. Соборності (Косіора), 37",1211036300,за призначенням,"комплекс, зблокований з 8-ми гаражів","196,7",,,,,
1252,17184,Міністерство охорони здоров'я України,02010681," Державний заклад "" Дніпропетровська медична академія МОЗ України"" ","49044, м. Дніпро, вул. Володимира Вернадського, 9",0562-31-22-60          0562-31-22-51           ,12,Навчальний корпус №7,"м. Дніпро, вул. Молодогвардійська, 57",1210138400,офісні приміщення,"3-х поверхова будівля, рік побудови 1965, фундамент з/б блоки, стіни цегляні, перегородки цегляні, перекриття-з/б плити, покрівля-рулонна, електроосвітлення","1374,4",,,,,
1253,17184,Міністерство охорони здоров'я України,02010681," Державна заклад          "" Дніпропетровська медична академія МОЗ України"" ","49044, м. Дніпро, вул. Володимира Вернадського, 9",0562-31-22-60          0562-31-22-51           ,12,Їдальня №18,"м. Дніпро, пл. Соборна, 2",1210136900,їдальня,"2-х поверхова будівля, рік побудови 1971, фундамент з/б блоки, стіни цегляні, перегородки цегляні, перекриття-з/б плити, покрівля-рулонна, ",1497,,,,,
1254,17184,Міністерство охорони здоров'я України,02010681," Державна заклад          "" Дніпропетровська медична академія МОЗ України"" ","49044, м. Дніпро, вул. Володимира Вернадського, 9",0562-31-22-60          0562-31-22-51           ,12,Корпус №35,"м. Дніпро, пл. Соборна, 14",1210136900,офісні приміщення,"1 поверхова будівля, рік побудови 1900",209,,,,,
1255,17294,Міністерство юстиції України,43314918,Головне територіальне управління юстиції у Дніпропетровській області,"пр.Дмитра Яворниць-кого, 21А, м. Дніпро, 49000",(056)713-45-58,12,Адмін. Будівля,"пр.Дмитра Яворниць-кого, 21А,  м. Дніпро, 49000",1210136900,Використання частини об’єкта з метою надання послуг харчування ,"6-ти поверхова адмінбудівля. Тепло-, водо-, електропос-тачання та телефонний зв'язок -  наявані. Технічний стан об’єкта – задовільний.","75,5",,,,,
1256,17294,Міністерство юстиції України,08562973,"Державна установа ""Софіївська виховна колонія (№ 45)""","вул. Центральна,        с. Макорти, Софіївсбкий р-н, Дніпропетровської обл. ",0975933913,12,Будівля клубу на 300 місць,"53121, вул.Центральна, с. Макорти, Софіївсбкий район, Дніпропетровської обл. ",1200000000,"Офісні приміщення, приміщення для святкування урочистих подій",Одноповерхова будівля містить одинадцять приміщень. Потребує поточного ремонту покрівлі та приміщень.,"944,5",,,,,
1257,17294,Міністерство юстиції України,08562973,"Державна установа ""Софіївська виховна колонія (№ 45)""","вул. Центральна,        с. Макорти, Софіївсбкий р-н, Дніпропетровської обл. ",0975933913,12,Будівля продовольчого складу та речового майна,"53121, вул.Центральна, с. Макорти, Софіївсбкий район, Дніпропетровської обл. ",1200000000,"Магазин, склад.",Потребує поточного ремонту приміщень,"186,1",,,,,
1258,28784,"РВ ФДМУ по Дніпропетровській, Запорізькій та Кіровоградській областях",488771,КСП ім. Чапаєва,"Широківський район, між селом Чапаєвка та селом Відрадне  ","744-34-36,             744-12-04",12,Ставок (гідротехнічна споруда ставу Оленівка),"Широківський район,   між селом Чапаєвка та селом Відрадне  ",1200000000,Використання за призначенням ,"По греблі ставка прокладена асфальтована дорога, яка зєднує  с.Чапаєвка і с. Відрадне. Водовипуск на ставку збудований із бетонної споруди за формою  квадрату, розщмірами приблизн 8м х 8м. Ставок водою не заповнений",,,,,,
1259,28784,"РВ ФДМУ по Дніпропетровській, Запорізькій та Кіровоградській областях",488771,КСП ім. Чапаєва,Широківський район. ,"744-34-36,             744-12-04",12,Ставок (гідротехнічна споруда ставу  Кривобашівський),"Дніпропетровська обл, Широківський район. ",1200000000,Використання за призначенням ,"Гребля забудована з каміння, глини та землі. Водовипуск на ставку знаходиться у вигляді горизонтально забудованих під греблею двох бетонних труб, кожна діаметром приблизно 1,2м.  Площа водного зеркала 7,59га; площа прибрежних захисних смуг 9,32га",,,,,,
1260,28784,"РВ ФДМУ по Дніпропетровській, Запорізькій та Кіровоградській областях",488771,КСП ім. Чапаєва,Широківський район. ,"744-34-36,             744-12-04",12,Ставок (гідротехнічна споруда ставу  Кацапський),"Дніпропетровська обл, Широківський район. ",1200000000,Використання за призначенням ,"Гребля забудована з каміння, глини та землі, використовується, як дорога.   Водовипуск на ставку огорожений металевими перилами та являє собою бетонну споруду за формою  квадрату, розщмірами приблизн 8м х 8м. Площа водного зеркала 16,25га; площа прибрежних захисних смуг 12,93га",,,,,,
1261,28784,"РВ ФДМУ по Дніпропетровській, Запорізькій та Кіровоградській областях",488771,КСП ім. Чапаєва,"Широківський район, вище ставка Кацапський ","744-34-36,             744-12-04",12,Ставок (гідротехнічна споруда ставу  Надійський),"Широківський район, вище ставка Кацапський ",1200000000,Використання за призначенням ,"Гребля забудована з каміння, глини та землі. Зверху біля греблі над водою за формою букви Г знаходиться водовипускна металева труба,  діаметром приблизно 0,8м, яка прокладена під греблею ",,,,,,
1262,28784,"РВ ФДМУ по Дніпропетровській, Запорізькій та Кіровоградській областях",953869,ПРАТ ”Божедарівський елеватор”,"Криничанський район,   смт.Божедарівка, вул. Виконкомівська, 1","744-34-36,             744-12-04",12,Пожежне депо Приблизно 40 кв.м,"Дніпропетровська обл, Криничанський район, смт. Божедарівка, вул. Виконкомівська, 1",1200000000,Використання за призначенням ,"Стан задовільний, розташоване в господарській будівлі  на території  ПРАТ ”Божедарівський елеватор”. Товариством не використовується",50,,,,,
1263,28784,"РВ ФДМУ по Дніпропетровській, Запорізькій та Кіровоградській областях",953869,ПРАТ ”Божедарівський елеватор”,"Криничанський район, с. Кудашівка","744-34-36,             744-12-04",12,Пожежне депо Приблизно 40 кв.м,"Дніпропетровська обл, Криничанський район, с. Кудашівка",1200000000,Використання за призначенням ,"Стан задовільний, розташоване в господарській будівлі  на території  ТОВ ”Кудашівське ХЗП”. Товариством не використовується",40,,,,,
